Product_ID,Category,Base_Price,Cost_Price,Seasonal_Impact,Storage_Cost,Shipping_Cost,Warranty_Cost,Supplier_ID,Supplier_Lead_Time,Reorder_Point,Min_Order_Quantity,Stock_Level,Rating,Review_Count,Launch_Date,Brand,Is_Private_Label,Has_Warranty,Weight_KG,Dimensions_CM,Country_of_Origin,Eco_Friendly,Tags
e11a111c-1935-43bd-a141-bfc13373e13e,Beauty,108.67,28.83,0.25,1.72,3.93,0.0,SUP_1,40,35,36,334,4.0,371,2021-04-20,"Murillo, Wagner and Davis",True,True,18.13,68x52x50,China,False,"Budget,Premium"
13de8d76-3cd5-48c4-810c-5e92515a19ef,Home Goods,156.72,79.32,0.2,59.05,74.93,27.09,SUP_38,25,37,19,336,3.6,769,2022-02-21,"Martin, Ferrell and Brown",False,True,5.46,81x6x51,China,False,"Sustainable,Premium"
dc848818-4e92-4b83-824d-da048ea81eed,Apparel,72.31,35.19,0.3,5.31,12.53,0.0,SUP_26,23,47,36,13,4.6,594,2021-03-04,"Spencer, Davidson and Bautista",False,True,14.13,21x11x50,Vietnam,False,"Budget,Premium"
31a50485-924b-41a5-95c6-9800cef232fa,Electronics,1510.06,1186.11,0.4,29.57,41.2,43.06,SUP_3,39,38,15,261,3.6,159,2021-09-08,Rogers-George,True,True,13.01,47x88x36,India,True,"Bestseller,Sustainable"
cadaf814-38ff-4f4c-b9b4-bf355c14c65a,Apparel,56.13,27.97,0.3,4.09,5.67,0.0,SUP_25,19,53,33,149,4.4,374,2022-02-01,Gonzalez-Mendoza,True,True,0.33,44x76x77,Mexico,True,"New,Sustainable"
6e1be377-5c83-4ec8-964a-5baf35470477,Beauty,85.93,33.82,0.25,3.29,3.94,0.0,SUP_3,44,31,9,145,5.0,728,2022-08-26,"Ford, Ochoa and Guerrero",True,True,3.9,31x28x47,USA,False,"Trending,Premium"
d67b019a-1a26-466b-8d99-5b0a40d858e3,Home Goods,383.4,200.12,0.2,45.72,36.19,5.63,SUP_40,20,46,44,324,3.5,140,2023-12-20,Fowler LLC,True,True,17.82,39x22x60,Vietnam,False,"New,Bestseller"
ab5232d1-ff38-4e47-9c66-0bb99c1fab95,Electronics,1018.3,843.09,0.4,11.94,15.06,71.49,SUP_12,25,69,33,23,4.1,908,2021-04-15,Dodson-Alvarado,True,True,15.21,78x6x18,India,False,"Budget,Trending"
4e8ffb5c-cb15-4e76-bf31-b82b6efe8d58,Home Goods,263.23,132.99,0.2,55.94,50.96,13.71,SUP_31,11,68,6,376,4.6,255,2021-05-04,Johnson PLC,True,True,18.33,26x57x52,Vietnam,True,"New,Premium"
06e14a1d-65fa-48ee-8f20-9f00084d33ab,Electronics,718.84,549.57,0.4,48.54,25.32,84.17,SUP_36,40,35,44,18,4.6,188,2022-08-15,Carrillo PLC,False,True,15.57,89x8x48,USA,False,"Sustainable,New"
f060ebf8-a40b-4555-a543-a6d106fccbfb,Apparel,129.19,77.45,0.3,4.05,6.73,0.0,SUP_44,21,63,34,123,4.5,233,2023-06-18,Pollard-Pope,False,False,6.78,12x1x52,USA,False,"Trending,Premium"
56e3c5d6-d009-4d3a-8d0b-538ba08fd518,Electronics,1268.32,943.01,0.4,17.81,32.43,32.23,SUP_22,20,63,26,134,4.6,125,2023-01-21,Wright-Jackson,False,True,5.38,43x31x58,USA,True,"Trending,Bestseller"
302fc7dc-a559-4a9f-a2d0-95760077f22c,Home Goods,478.19,347.09,0.2,17.13,61.85,28.09,SUP_12,5,64,46,225,4.6,20,2021-08-08,Klein-Reed,True,True,7.62,41x95x37,Mexico,True,"Trending,Budget"
c83b1d23-0ead-4488-b315-fcea86ed763b,Beauty,143.77,67.93,0.25,1.99,9.45,0.0,SUP_15,28,54,48,330,4.9,390,2021-09-09,"Dickson, Hanson and Smith",True,True,15.02,78x47x26,China,True,"Sustainable,Premium"
83cda71b-88e7-400a-9498-ab234531eba2,Home Goods,487.47,296.21,0.2,40.85,71.97,10.24,SUP_10,5,91,44,265,4.0,416,2023-10-22,"Ramos, York and Jackson",False,True,2.37,69x77x19,India,True,"Premium,New"
1185c9d1-1159-4497-8b77-6c2b01376ca3,Apparel,48.03,22.36,0.3,7.56,14.26,0.0,SUP_3,12,93,50,255,4.4,906,2022-02-01,Rocha LLC,False,False,14.45,25x37x30,Vietnam,True,"Premium,Budget"
48c07de3-bedf-4871-80c9-c3af0ea5b721,Home Goods,444.18,317.99,0.2,46.52,44.02,10.04,SUP_3,32,53,12,334,4.9,110,2022-04-06,Parker PLC,True,True,6.4,41x28x15,Mexico,True,"Sustainable,Bestseller"
aa243fc1-e765-42c2-936a-4fc9366c6a1c,Home Goods,300.34,172.7,0.2,24.32,72.32,21.6,SUP_7,4,87,45,271,4.5,309,2021-11-27,Stewart-Martin,True,False,6.79,43x100x84,Mexico,True,"Sustainable,Budget"
ddbda2dc-7c1e-46c0-9345-18ac9893767c,Apparel,119.39,62.89,0.3,4.94,10.77,0.0,SUP_24,38,51,36,43,4.0,163,2021-03-18,Mckee-Marks,True,False,1.98,21x88x52,Vietnam,False,"Bestseller,Sustainable"
